ALT 381605.8N 0003412.4W
ADX 393258.0N 0022345.1E
BGR 415651.7N 0031231.9E
BCN 411825.6N 0020628.1E
CLS 394225.8N 0005910.7W
GIR 415552.5N 0024618.7E
IBA 385206.0N 0012157.3E
MJV 392606.7N 0024529.9E
MLA 410746.9N 0000956.2E
MHN 395149.0N 0041258.7E
POS 395538.8N 0030652.5E
RES 410858.9N 0011016.0E
SLL 413111.5N 0020635.1E
VLC 392908.3N 0002859.0W
PPG 424501.7N 0025201.7E 
ANETO 424134.8N 0003330.4E
ASTRO 390127.8N 0011546.8W
DRAGO 400028.1N 0014556.4E
GALAT 400915.7N 0015627.1E
GIROM 424629.5N 0005950.3E
HAMRA 365216.0N 0000125.0W
LABRO 371629.0N 0010726.0E
LIGUM 355000.0N 0020000.0W
LORES 403000.0N 0024209.3E
LUMAS 414359.6N 0044000.0E
MARIO 421236.7N 0001438.8W
MOGIL 380755.0N 0031207.0E
OKABI 423658.0N 0012901.0E
OSPOK 405125.0N 0044000.0E
PECES 382849.0N 0035659.0E
PERDU 424355.5N 0000904.3E
PONEN 412114.0N 0003251.4W
RESTU 375427.2N 0013327.3W
ROCAN 424024.0N 0015648.0E
RUBEO 405714.9N 0004111.3W
SADAF 374813.0N 0021944.0E
SARGO 403000.0N 0035930.7E
SISMO 403632.9N 0030844.7E
SOPET 395001.8N 0000016.9W
SOTAX 393506.0N 0044000.0E
VAKIN 415417.4N 0002111.9W
VATIR 421020.0N 0040656.0E
VERSO 410910.7N 0034525.0E
